model_name,type,url,entities,multilingual,dataset,data_url
facebook/detr-resnet-50,DetrFeatureExtractor,https://huggingface.co/facebook/detr-resnet-50,COCO,,COCO2017,
hustvl/yolos-tiny,YolosFeatureExtractor,https://huggingface.co/hustvl/yolos-tiny,COCO,,COCO2017,
facebook/detr-resnet-101,DetrFeatureExtractor,https://huggingface.co/facebook/detr-resnet-101,COCO,,COCO2017,
hustvl/yolos-small,YolosFeatureExtractor,https://huggingface.co/hustvl/yolos-small,COCO,,COCO2017,
hf-internal-testing/tiny-detr-mobilenetsv3,DetrFeatureExtractor,https://huggingface.co/hf-internal-testing/tiny-detr-mobilenetsv3,COCO,,COCO2021,
TahaDouaji/detr-doc-table-detection,DetrFeatureExtractor,https://huggingface.co/TahaDouaji/detr-doc-table-detection,table,,ICDAR2019 Table Dataset,
hustvl/yolos-base,YolosFeatureExtractor,https://huggingface.co/hustvl/yolos-base,COCO,,COCO2017,
nickmuchi/yolos-small-finetuned-masks,DetrFeatureExtractor,https://huggingface.co/facebook/detr-resnet-101-dc5,COCO,,COCO2017,
facebook/detr-resnet-50-dc5,DetrFeatureExtractor,https://huggingface.co/facebook/detr-resnet-50-dc5,COCO,,COCO2017,
mindee/fasterrcnn_mobilenet_v3_large_fpn,doctr,https://huggingface.co/mindee/fasterrcnn_mobilenet_v3_large_fpn,COCO,,COCO2017,
https://huggingface.co/mindee/fasterrcnn_mobilenet_v3_large_fpn,YolosFeatureExtractor,https://huggingface.co/hustvl/yolos-small-dwr,COCO,,COCO2017,
hustvl/yolos-small-300,YolosFeatureExtractor,https://huggingface.co/hustvl/yolos-small-300,COCO,,COCO2017,
Riser/YOLOP,YolosFeatureExtractor,https://huggingface.co/Riser/YOLOP,COCO,,COCO2017,
mhyatt000/YOLOv5,YolosFeatureExtractor,https://huggingface.co/mhyatt000/YOLOv5,COCO,,COCO2017,